date_range_start,cluster,cdi,population,cdi_per_capita
2019-01-07 00:00:00-05:00,0,,1523534,
2019-01-07 00:00:00-05:00,1,,2016402,
2019-01-07 00:00:00-05:00,2,,2115896,
2019-01-07 00:00:00-05:00,3,,2763460,
2019-01-14 00:00:00-05:00,0,,1523534,
2019-01-14 00:00:00-05:00,1,,2016402,
2019-01-14 00:00:00-05:00,2,,2115896,
2019-01-14 00:00:00-05:00,3,,2763460,
2019-01-21 00:00:00-05:00,0,,1523534,
2019-01-21 00:00:00-05:00,1,,2016402,
2019-01-21 00:00:00-05:00,2,,2115896,
2019-01-21 00:00:00-05:00,3,,2763460,
2019-01-28 00:00:00-05:00,0,74484.89912650475,1523534,0.04888955489441309
2019-01-28 00:00:00-05:00,1,72518.94450955598,2016402,0.03596452716747751
2019-01-28 00:00:00-05:00,2,101042.16684321917,2115896,0.04775384368760051
2019-01-28 00:00:00-05:00,3,106443.67167616085,2763460,0.03851826032443417
2019-02-04 00:00:00-05:00,0,61146.90300450779,1523534,0.04013491199048252
2019-02-04 00:00:00-05:00,1,63382.8803507501,2016402,0.03143365278885366
2019-02-04 00:00:00-05:00,2,82398.88789698316,2115896,0.03894278730948173
2019-02-04 00:00:00-05:00,3,90813.74382683102,2763460,0.032862333388878805
2019-02-11 00:00:00-05:00,0,55601.984066411904,1523534,0.03649540086825231
2019-02-11 00:00:00-05:00,1,59578.27358612438,2016402,0.02954682329521811
2019-02-11 00:00:00-05:00,2,74808.1699600501,2115896,0.03535531517619491
2019-02-11 00:00:00-05:00,3,84267.6650968716,2763460,0.030493535313292613
2019-02-18 00:00:00-05:00,0,57873.070072010625,1523534,0.03798607059114573
2019-02-18 00:00:00-05:00,1,64134.58885374722,2016402,0.03180644973261642
2019-02-18 00:00:00-05:00,2,78031.78454158094,2115896,0.036878837401073096
2019-02-18 00:00:00-05:00,3,88218.87542054815,2763460,0.03192334081931642
2019-02-25 00:00:00-05:00,0,56833.83864818377,1523534,0.037303951633625355
2019-02-25 00:00:00-05:00,1,67318.18685634831,2016402,0.03338530057813289
2019-02-25 00:00:00-05:00,2,77993.38803534131,2115896,0.03686069071227571
2019-02-25 00:00:00-05:00,3,90381.83155803289,2763460,0.032706039370221714
2019-03-04 00:00:00-05:00,0,50478.03767860109,1523534,0.0331322029430266
2019-03-04 00:00:00-05:00,1,67784.49391834236,2016402,0.033616557570535215
